line_id,industry_name,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1,Gross domestic product,0.000000,0.005061,0.003283,0.003330,0.004706,-0.003570,0.009163,0.006239,0.012712,0.015303,0.015465,0.017086,0.020379,0.022560,0.010887,0.009518,0.009286,0.005293,0.008119,0.003954,0.007755,0.006441,0.004378,0.006037,0.008879,0.005243,0.009285,0.009107,0.008887
2,Private industries,0.000000,0.005973,0.002709,0.003019,0.002885,-0.007416,0.009763,0.006627,0.013792,0.016809,0.016274,0.018906,0.022052,0.024815,0.011090,0.008865,0.008464,0.004497,0.007346,0.003712,0.007225,0.005877,0.004050,0.005955,0.008630,0.003842,0.009032,0.007268,0.011128
3,"Agriculture, forestry, fishing, and hunting",0.000000,0.011223,0.043329,0.019183,-0.003863,-0.158071,0.075550,0.109676,0.069646,0.200661,0.033373,-0.053727,0.152776,0.097298,0.009286,0.011677,-0.065499,-0.056612,-0.037547,-0.067702,0.005079,-0.025267,0.053090,0.083333,0.051221,-0.087939,-0.026491,-0.053133,-0.097138
4,Farms,0.000000,0.021033,0.058624,0.044201,-0.024087,-0.200671,0.108400,0.133204,0.102432,0.242901,0.035134,-0.072103,0.205212,0.104756,0.003766,0.013219,-0.076077,-0.070983,-0.047140,-0.083596,0.002869,-0.024838,0.069290,0.101767,0.060679,-0.107384,-0.032548,-0.066798,-0.116636
5,"Forestry, fishing, and related activities",0.000000,0.009480,0.000225,0.000822,0.000558,-0.009044,-0.000326,0.010215,0.017605,0.008852,0.023049,0.019711,0.006532,0.004776,0.015190,0.010937,0.012410,0.004506,0.006387,-0.001151,-0.006035,-0.009592,0.006550,0.005648,0.011518,0.002021,-0.003669,-0.002640,-0.006142
6,Mining,0.000000,-0.019089,-0.094348,0.020314,-0.173871,-0.346810,0.342391,0.165946,0.251451,0.164878,0.111466,0.214249,0.133621,0.266187,-0.096098,-0.219719,-0.153686,-0.161562,0.057074,0.020015,-0.034351,0.027470,-0.044606,-0.021643,0.110964,-0.141617,-0.002343,-0.036097,0.226774
7,Oil and gas extraction,0.000000,-0.035832,-0.153330,0.027118,-0.279686,-0.590056,0.934025,0.342258,0.478936,0.263857,0.182472,0.326784,0.160987,0.349359,-0.132177,-0.303701,-0.246544,-0.240788,0.122742,-0.008735,-0.044060,0.024252,-0.053467,-0.041066,0.178429,-0.212666,-0.019744,-0.078896,0.344417
8,"Mining, except oil and gas",0.000000,-0.008692,-0.002833,-0.002106,-0.027306,-0.022319,0.061409,0.042152,0.051576,0.084446,0.020874,0.014272,0.073825,0.072459,-0.002132,0.016098,0.026331,-0.020868,-0.031059,0.043580,0.023370,0.027003,-0.007070,0.009463,0.030710,0.014952,0.005246,0.056484,0.091177
9,Support activities for mining,0.000000,0.012985,-0.008998,0.013541,0.000928,-0.062844,-0.052101,-0.065237,-0.083073,-0.042432,-0.018491,0.009729,0.069071,0.088646,0.005842,-0.016997,0.061509,-0.025332,-0.059990,0.114722,-0.058793,0.040980,-0.053243,0.011602,-0.013758,-0.057034,0.050521,-0.007340,0.020853
10,Utilities,0.000000,-0.021196,0.025901,-0.049903,-0.024084,0.026492,0.018140,0.040334,0.129075,-0.037722,0.013579,0.029997,-0.047228,0.163358,0.054904,-0.040149,-0.002109,-0.091804,0.094524,-0.076528,0.020603,0.000316,-0.015309,-0.011334,0.025600,0.043007,-0.000052,0.025581,-0.007214
11,Construction,0.000000,0.012780,0.011929,0.012056,0.012367,-0.001293,-0.002923,-0.001209,0.004994,-0.003451,0.028179,0.063093,0.015732,0.053637,0.065283,0.047186,0.010213,0.007018,-0.001685,0.013696,0.001342,0.001542,0.006532,-0.001676,0.008559,-0.006703,0.005006,0.005001,0.005516
12,Manufacturing,0.000000,0.000137,-0.005484,0.005682,-0.002536,-0.010916,-0.003593,-0.003805,0.017437,0.019104,0.021484,0.027716,0.032204,0.043373,0.004154,0.024411,0.021938,-0.008373,0.009883,-0.006668,0.005089,-0.011896,-0.003983,0.003422,-0.011052,-0.012098,0.019378,0.014340,-0.003530
13,Durable goods,0.000000,0.000670,-0.000148,0.003081,0.001305,0.004783,-0.001648,-0.010004,-0.011645,0.006111,0.007413,0.022106,0.023497,0.019172,0.030749,0.024463,0.014612,0.013229,0.012784,0.006379,0.010371,-0.000124,0.000645,-0.001214,0.002539,-0.015765,0.002087,0.006909,0.002758
14,Wood products,0.000000,0.007811,-0.018377,-0.001297,0.019495,0.018952,0.109591,0.079709,0.122526,0.217540,0.037132,-0.028792,0.141994,0.020296,-0.099766,-0.066190,-0.054949,-0.016913,0.011400,-0.044279,0.015852,0.017583,-0.049734,0.000871,-0.003142,-0.032192,-0.009877,0.007189,0.011753
15,Nonmetallic mineral products,0.000000,0.015072,0.012345,0.010437,0.016009,0.013171,-0.008868,-0.003251,0.005334,0.009419,0.026007,0.011656,0.036957,-0.015272,0.064480,0.061061,0.064845,0.040308,0.013818,0.021953,0.032285,0.005804,0.005219,0.005594,-0.002477,-0.008333,0.003608,0.001810,0.012291
16,Primary metals,0.000000,-0.057949,-0.102682,-0.063402,-0.082642,-0.059577,-0.073563,0.009745,0.099079,0.277351,0.191822,0.238016,-0.113968,-0.036390,-0.083305,-0.123889,-0.090911,0.113248,-0.054753,-0.071146,0.054274,-0.110913,-0.100523,-0.041739,-0.040802,0.133173,0.016561,0.012367,0.046656
17,Fabricated metal products,0.000000,0.011169,0.014219,0.012983,0.009027,0.014831,-0.003206,-0.026622,-0.042236,0.005620,0.018578,0.058481,0.094842,0.035893,0.073664,0.061872,0.019588,0.019490,0.032037,0.017042,0.006525,0.008264,0.022148,-0.004354,0.003447,-0.015093,0.004357,-0.002602,-0.027583
18,Machinery,0.000000,0.015187,0.017153,0.014612,0.010975,0.006484,0.002411,-0.015689,-0.041579,-0.028435,-0.014343,0.029246,0.049801,0.053260,0.063076,0.058536,0.044055,0.015694,0.024192,0.014955,0.016074,0.017258,0.006616,-0.002117,0.017700,-0.017570,0.007718,-0.000840,-0.008760
19,Computer and electronic products,0.000000,-0.005022,-0.002401,-0.000555,0.007213,0.000194,-0.000082,-0.005189,-0.011315,-0.004486,0.000741,0.007109,0.012224,0.010594,0.008651,0.006711,0.009526,0.001688,0.008593,0.004524,0.008929,0.003201,0.003363,0.009175,0.003341,0.000095,0.013733,0.018211,0.049900
