Line,Monthly Employment (thousands),2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,,Line,Avg Hourly Earnings,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,,Line,Avg Weekly Earnings,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,
,,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,JAN,FEB,MAR,APR (P),MAY (P),JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,,,,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,JAN,FEB,MAR,APR (P),MAY (P),JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,,,,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUGUST,SEPT,OCT,NOV,DEC,
1,        Gross domestic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,        Gross domestic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,        Gross domestic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Private industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Private industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Private industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"    Agriculture, forestry, fishing, and hunting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"    Agriculture, forestry, fishing, and hunting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"    Agriculture, forestry, fishing, and hunting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,        Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,        Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,        Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"        Forestry, fishing, and related activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"        Forestry, fishing, and related activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"        Forestry, fishing, and related activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,    Mining,502.2,493.3,506.9,508.4,510.5,513,514.2,517.3,518.8,522.4,526.8,534.1,533.5,538.2,543.4,553.2,556.1,651.7,568,565,567.3,571.1,578.6,582.4,585.4,587.3,588.8,593.7,596.5,,,,,,,,,6,    Mining,35.27,35.41,35.12,35.41,35.42,35.39,35.53,35.67,35.67,35.78,35.97,36.01,35.91,36.16,36.17,35.74,36.07,36.5,36.97,36.84,36.93,36.9,37.09,37.33,37.67,37.75,37.97,38.36,N/a,,,,,,,,,6,    Mining,1622.42,1603.071612.01,1612.01,1614.7,1615.15,1617.32,1620.17,1615.85,1630.12,1624.41,1651.02,1645.66,1641.09,1659.74,1671.05,1654.76,1670.04,1700.9,1719.11,1713.06,1717.25,1712.16,1720.98,1702.25,1755.42,1736.5,1742.82,1764.56,N/A,,,,,,,,
7,        Oil and gas extraction,114.5,113,113.5,114.3,113,112,111.2,111.3,111.2,111.1,110.7,111.4,111.1,111.9,112.6,119.8,120.4,121.4,122.9,115.6,115.8,116.6,117.1,117.2,117.5,117.7,118.4,119,120.4,,,,,,,,,7,        Oil and gas extraction,46.88,47.44,46.99,46.81,46.82,46.33,46.4,46.86,46.11,46.04,46.35,45.37,45.24,45.67,45.59,42.51,43.82,45.19,46.08,47.35,47.68,47.63,48.67,49.22,50.4,51.03,51.14,51.28,,,,,,,,,,7,        Oil and gas extraction,1959.58,1973.5,1945.39,1923.89,1919.62,1913.43,1907.04,1911.89,1913.57,1924.47,1918.89,1878.32,1863.89,1904.44,1910.22,1806.68,1884.26,1997.4,2009.09,2036.05,2045.47,2029.04,2097.68,2111.54,2182.32,2138.16,2117.2,2158.89,,,,,,,,,
8,"        Mining, except oil and gas",175.1,174.3,175,174.4,173.5,174.1,175.4,176.8,177,177.6,178.6,179.6,180,180.4,180.7,180.5,181.8,182.8,183.6,183.5,183.7,184.8,187.1,186.5,186.7,187.6,187.2,187.3,186.8,,,,,,,,,8,"        Mining, except oil and gas",31.55,31.71,31.76,32.22,32.42,32.62,32.71,33.05,33.17,33.32,33.41,33.3,33.44,3387,34.03,33.94,34.23,34.4,35.09,34.66,34.82,34.78,34.49,34.83,34.83,34.94,35.16,35.55,,,,,,,,,,8,"        Mining, except oil and gas",1416.6,1382.56,1435.55,1462.79,1458.9,1461.38,1445.78,1464.12,1472.75,1456.08,1483.4,1478.52,1468.02,1520.76,1514.34,1517.12,1526.66,1544.56,1568.52,1538.9,1556.45,1533.8,1534.81,1508.14,1539.49,1530.37,1547.04,1549.98,,,,,,,,,
9,        Support activities for mining,212.6,206,218.4,219.7,224,26.9,227.6,229.2,230.6,233.7,237.5,243.1,242.4,245.9,250.1,252.9,253.9,257.5,261.5,265.9,267.8,269.7,274.4,278.7,281.2,282.2,283.9,288,290.7,,,,,,,,,9,        Support activities for mining,32.29,32.44,32.55,32.77,32.788,32.84,33.08,33.11,33.17,33.02,33.77,34.37,33.68,34.13,34.11,33.96,34.08,34.2,34.4,34.35,34.35,34.08,34.45,34.58,34.65,34.78,35.1,35.5,,,,,,,,,,9,        Support activities for mining,1582.21,1579.83,1601.46,1599.18,1589.83,1602.59,1620.92,1609.15,1615.38,1588.26,1651.35,166.95,1613.27,1648.48,1688.45,1643.66,1676.74,168.48,1692.48,1700.33,1700.33,1686.96,1688.05,1649.47,1690.92,1697.26,1723.41,1735.95,,,,,,,,,
