line_id,period,metric,value
3,2019-Q1,quantity_index,98.420000
4,2019-Q1,quantity_index,96.409000
5,2019-Q1,quantity_index,105.269000
6,2019-Q1,quantity_index,113.509000
7,2019-Q1,quantity_index,108.704000
8,2019-Q1,quantity_index,93.678000
9,2019-Q1,quantity_index,149.124000
10,2019-Q1,quantity_index,95.108000
11,2019-Q1,quantity_index,104.413000
26,2019-Q1,quantity_index,96.513000
27,2019-Q1,quantity_index,93.379000
28,2019-Q1,quantity_index,97.533000
12,2019-Q1,quantity_index,104.616000
25,2019-Q1,quantity_index,103.779000
14,2019-Q1,quantity_index,96.240000
29,2019-Q1,quantity_index,107.684000
30,2019-Q1,quantity_index,100.523000
31,2019-Q1,quantity_index,117.528000
32,2019-Q1,quantity_index,106.645000
33,2019-Q1,quantity_index,103.225000
15,2019-Q1,quantity_index,102.436000
16,2019-Q1,quantity_index,101.932000
17,2019-Q1,quantity_index,103.991000
18,2019-Q1,quantity_index,106.396000
19,2019-Q1,quantity_index,108.817000
20,2019-Q1,quantity_index,95.266000
21,2019-Q1,quantity_index,105.144000
22,2019-Q1,quantity_index,110.343000
23,2019-Q1,quantity_index,103.234000
24,2019-Q1,quantity_index,102.859000
13,2019-Q1,quantity_index,105.300000
34,2019-Q1,quantity_index,101.421000
36,2019-Q1,quantity_index,108.705000
37,2019-Q1,quantity_index,97.159000
35,2019-Q1,quantity_index,104.652000
38,2019-Q1,quantity_index,102.467000
41,2019-Q1,quantity_index,99.061000
42,2019-Q1,quantity_index,97.498000
43,2019-Q1,quantity_index,97.265000
44,2019-Q1,quantity_index,96.922000
45,2019-Q1,quantity_index,130.281000
46,2019-Q1,quantity_index,90.286000
47,2019-Q1,quantity_index,106.509000
40,2019-Q1,quantity_index,102.651000
48,2019-Q1,quantity_index,113.221000
39,2019-Q1,quantity_index,105.607000
49,2019-Q1,quantity_index,111.661000
50,2019-Q1,quantity_index,117.681000
51,2019-Q1,quantity_index,90.451000
52,2019-Q1,quantity_index,108.279000
53,2019-Q1,quantity_index,122.446000
55,2019-Q1,quantity_index,99.234000
56,2019-Q1,quantity_index,96.069000
57,2019-Q1,quantity_index,100.129000
58,2019-Q1,quantity_index,103.804000
59,2019-Q1,quantity_index,11.833000
60,2019-Q1,quantity_index,104.311000
61,2019-Q1,quantity_index,104.206000
64,2019-Q1,quantity_index,105.392000
66,2019-Q1,quantity_index,110.320000
67,2019-Q1,quantity_index,100.745000
69,2019-Q1,quantity_index,108.649000
68,2019-Q1,quantity_index,123.273000
70,2019-Q1,quantity_index,113.279000
71,2019-Q1,quantity_index,106.695000
72,2019-Q1,quantity_index,107.285000
73,2019-Q1,quantity_index,100.791000
74,2019-Q1,quantity_index,104.722000
75,2019-Q1,quantity_index,103.770000
76,2019-Q1,quantity_index,104.883000
77,2019-Q1,quantity_index,107.649000
78,2019-Q1,quantity_index,102.549000
79,2019-Q1,quantity_index,98.344000
80,2019-Q1,quantity_index,106.337000
81,2019-Q1,quantity_index,102.424000
82,2019-Q1,quantity_index,102.052000
83,2019-Q1,quantity_index,103.084000
84,2019-Q1,quantity_index,100.540000
85,2019-Q1,quantity_index,102.551000
86,2019-Q1,quantity_index,101.033000
87,2019-Q1,quantity_index,103.123000
88,2019-Q1,quantity_index,102.447000
54,2019-Q1,quantity_index,102.391000
1,2019-Q1,quantity_index,104.179000
65,2019-Q1,quantity_index,109.848000
2,2019-Q1,quantity_index,104.673000
3,2019-Q2,quantity_index,97.831000
4,2019-Q2,quantity_index,95.326000
5,2019-Q2,quantity_index,106.359000
6,2019-Q2,quantity_index,116.715000
7,2019-Q2,quantity_index,114.259000
8,2019-Q2,quantity_index,97.594000
9,2019-Q2,quantity_index,143.779000
10,2019-Q2,quantity_index,98.700000
11,2019-Q2,quantity_index,104.918000
26,2019-Q2,quantity_index,96.595000
27,2019-Q2,quantity_index,93.214000
28,2019-Q2,quantity_index,99.537000
12,2019-Q2,quantity_index,105.283000
25,2019-Q2,quantity_index,104.909000
14,2019-Q2,quantity_index,96.090000
29,2019-Q2,quantity_index,110.451000
30,2019-Q2,quantity_index,100.151000
31,2019-Q2,quantity_index,127.303000
32,2019-Q2,quantity_index,105.131000
33,2019-Q2,quantity_index,105.960000
15,2019-Q2,quantity_index,103.600000
16,2019-Q2,quantity_index,106.545000
17,2019-Q2,quantity_index,103.478000
18,2019-Q2,quantity_index,105.547000
19,2019-Q2,quantity_index,110.094000
20,2019-Q2,quantity_index,95.470000
21,2019-Q2,quantity_index,105.931000
22,2019-Q2,quantity_index,108.630000
23,2019-Q2,quantity_index,101.800000
24,2019-Q2,quantity_index,103.323000
13,2019-Q2,quantity_index,105.586000
34,2019-Q2,quantity_index,100.257000
36,2019-Q2,quantity_index,109.013000
37,2019-Q2,quantity_index,97.272000
35,2019-Q2,quantity_index,105.515000
38,2019-Q2,quantity_index,102.753000
41,2019-Q2,quantity_index,101.414000
42,2019-Q2,quantity_index,97.089000
43,2019-Q2,quantity_index,94.116000
44,2019-Q2,quantity_index,99.060000
45,2019-Q2,quantity_index,124.517000
46,2019-Q2,quantity_index,85.270000
47,2019-Q2,quantity_index,106.268000
40,2019-Q2,quantity_index,103.239000
48,2019-Q2,quantity_index,117.079000
39,2019-Q2,quantity_index,107.021000
49,2019-Q2,quantity_index,116.067000
50,2019-Q2,quantity_index,120.249000
51,2019-Q2,quantity_index,93.029000
52,2019-Q2,quantity_index,110.736000
53,2019-Q2,quantity_index,134.109000
55,2019-Q2,quantity_index,100.046000
56,2019-Q2,quantity_index,98.980000
57,2019-Q2,quantity_index,89.563000
58,2019-Q2,quantity_index,107.689000
59,2019-Q2,quantity_index,14.677000
60,2019-Q2,quantity_index,104.882000
61,2019-Q2,quantity_index,104.450000
64,2019-Q2,quantity_index,109.613000
66,2019-Q2,quantity_index,111.680000
67,2019-Q2,quantity_index,101.098000
69,2019-Q2,quantity_index,110.449000
68,2019-Q2,quantity_index,124.303000
70,2019-Q2,quantity_index,114.017000
71,2019-Q2,quantity_index,107.150000
72,2019-Q2,quantity_index,107.748000
73,2019-Q2,quantity_index,101.169000
74,2019-Q2,quantity_index,105.755000
75,2019-Q2,quantity_index,104.875000
76,2019-Q2,quantity_index,105.904000
77,2019-Q2,quantity_index,108.756000
78,2019-Q2,quantity_index,103.367000
79,2019-Q2,quantity_index,99.079000
80,2019-Q2,quantity_index,107.994000
81,2019-Q2,quantity_index,102.988000
82,2019-Q2,quantity_index,102.563000
83,2019-Q2,quantity_index,103.011000
84,2019-Q2,quantity_index,101.858000
85,2019-Q2,quantity_index,103.131000
86,2019-Q2,quantity_index,100.940000
87,2019-Q2,quantity_index,103.981000
88,2019-Q2,quantity_index,102.781000
54,2019-Q2,quantity_index,103.055000
1,2019-Q2,quantity_index,105.049000
65,2019-Q2,quantity_index,110.887000
2,2019-Q2,quantity_index,105.569000
3,2019-Q3,quantity_index,96.501000
4,2019-Q3,quantity_index,93.269000
5,2019-Q3,quantity_index,107.407000
6,2019-Q3,quantity_index,120.767000
7,2019-Q3,quantity_index,127.027000
8,2019-Q3,quantity_index,99.093000
9,2019-Q3,quantity_index,125.692000
10,2019-Q3,quantity_index,99.069000
11,2019-Q3,quantity_index,105.639000
26,2019-Q3,quantity_index,98.503000
27,2019-Q3,quantity_index,93.181000
28,2019-Q3,quantity_index,104.579000
12,2019-Q3,quantity_index,106.177000
25,2019-Q3,quantity_index,107.016000
14,2019-Q3,quantity_index,99.456000
29,2019-Q3,quantity_index,115.218000
30,2019-Q3,quantity_index,100.727000
31,2019-Q3,quantity_index,122.821000
32,2019-Q3,quantity_index,107.707000
33,2019-Q3,quantity_index,107.121000
15,2019-Q3,quantity_index,105.191000
16,2019-Q3,quantity_index,117.998000
17,2019-Q3,quantity_index,103.193000
18,2019-Q3,quantity_index,104.134000
19,2019-Q3,quantity_index,108.521000
20,2019-Q3,quantity_index,96.809000
21,2019-Q3,quantity_index,105.573000
22,2019-Q3,quantity_index,106.848000
23,2019-Q3,quantity_index,99.793000
24,2019-Q3,quantity_index,102.557000
13,2019-Q3,quantity_index,105.503000
34,2019-Q3,quantity_index,102.534000
36,2019-Q3,quantity_index,112.185000
37,2019-Q3,quantity_index,100.639000
35,2019-Q3,quantity_index,107.356000
38,2019-Q3,quantity_index,103.812000
41,2019-Q3,quantity_index,105.401000
42,2019-Q3,quantity_index,94.553000
43,2019-Q3,quantity_index,97.045000
44,2019-Q3,quantity_index,100.492000
45,2019-Q3,quantity_index,128.574000
46,2019-Q3,quantity_index,83.797000
47,2019-Q3,quantity_index,106.942000
40,2019-Q3,quantity_index,104.564000
48,2019-Q3,quantity_index,117.544000
39,2019-Q3,quantity_index,108.198000
49,2019-Q3,quantity_index,118.844000
50,2019-Q3,quantity_index,122.827000
51,2019-Q3,quantity_index,92.559000
52,2019-Q3,quantity_index,113.427000
53,2019-Q3,quantity_index,138.826000
55,2019-Q3,quantity_index,100.482000
56,2019-Q3,quantity_index,101.509000
57,2019-Q3,quantity_index,83.315000
58,2019-Q3,quantity_index,109.024000
59,2019-Q3,quantity_index,13.624000
60,2019-Q3,quantity_index,105.994000
61,2019-Q3,quantity_index,105.091000
64,2019-Q3,quantity_index,116.079000
66,2019-Q3,quantity_index,113.802000
67,2019-Q3,quantity_index,103.015000
69,2019-Q3,quantity_index,113.229000
